iso3c,year,ca_gdp
OMN,1999,-2.57671691704828
OMN,1998,-19.7180125156589
OMN,1997,-0.919633654405093
OMN,1996,1.39466079996563
OMN,1995,-5.09164295639516
OMN,1994,-5.4701307882644
OMN,1993,-8.36318444330724
OMN,1992,-4.21923133343112
OMN,1991,-1.94077026836584
OMN,1990,8.31216538356323
OMN,1989,3.25785325785326
OMN,1988,-3.69049465033338
OMN,1987,10.0419527882384
OMN,1986,-14.1973790061813
OMN,1985,-0.101276081520764
PAK,2020,-0.216650637871501
PAK,2019,-2.66677325730292
PAK,2018,-5.29556175645778
PAK,2017,-4.76985760466006
PAK,2016,-2.29279660651385
PAK,2015,-0.934446742353906
PAK,2014,-1.34787339235798
PAK,2013,-1.70727876868057
PAK,2012,-0.936399348037174
PAK,2011,-0.957124213324854
PAK,2010,-0.688324235118166
PAK,2009,-2.13167355660601
PAK,2008,-7.74194351471585
PAK,2007,-4.50796175781862
PAK,2006,-4.16812395772995
PAK,2005,-2.48346235681318
PAK,2004,-0.617928012719509
PAK,2003,3.17962013910419
PAK,2002,3.93573326208505
PAK,2001,1.93318034244488
PAK,2000,-0.0854401858342493
PAK,1999,-1.46092369568391
PAK,1998,-3.61461538001894
PAK,1997,-2.74152798261064
PAK,1996,-7.00574971079086
PAK,1995,-5.52270880088959
PAK,1994,-3.46530848690822
PAK,1993,-5.59847609574865
PAK,1992,-3.83779241680643
PAK,1991,-2.77569478723708
PAK,1990,-4.15244201309876
PAK,1989,-3.33082801461705
PAK,1988,-3.69691808527703
PAK,1987,-1.66801834551223
PAK,1986,-1.99398424722894
PAK,1985,-3.42647654062989
PLW,2020,-43.4275854404351
PLW,2019,-30.4256869318083
PLW,2018,-18.6570512009478
PLW,2017,-22.6908505634262
PLW,2016,-16.0038255976821
PLW,2015,-8.44636688523686
PLW,2014,-19.704998233376
PLW,2013,-13.0344370501227
PLW,2012,-15.9932980684652
PLW,2011,-12.7522877984867
PLW,2010,-9.93323939449098
PLW,2009,-3.23576084565415
